date,day_of_week,trust_code,trust_name,trust_type,total_beds,flu_rate_per_100k,temperature_c,gp_appointment_lag_days,ae_attendance,ae_4hr_breach_pct,ae_mean_wait_mins,ae_12hr_trolley_waits,social_care_delay_days,nctr_patients,bed_occupancy_pct,nurse_sickness_pct,unfilled_shifts,ambulance_handover_avg_mins,ambulance_handover_over_60min,red_flag_incidents,pressure_score,opel_level,ae_pressure_index,bed_social_care_ratio,workforce_stress_index,system_flow_score,rag_status,,,date,WGH,NRI,SCH
01/04/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5.5,6.4,10.3,215,0.064,121,0,12.8,25,0.885,0.068,3,17,0,2,0.477,2,0.32685,14.46327684,0.084,0.766714286,Amber,,,,,,
02/04/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,5.7,7.5,8.8,205,0.068,96,0,13.2,31,0.879,0.063,3,12,0,2,0.494,2,0.3332,15.01706485,0.0815,0.738171429,Amber,,,,,,
03/04/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,6.6,7.2,8.1,280,0.127,143,0,14.7,33,0.9,0.058,3,14,0,1,0.556,3,0.42755,16.33333333,0.079,0.754071429,Amber,,,,,,
04/04/2023,Tuesday,NRI,Northmere Royal Infirmary,Acute,480,4.3,7.5,8.5,235,0.097,132,0,14.3,36,0.881,0.054,5,12,0,4,0.584,3,0.4198,16.23155505,0.110333333,0.749042857,Amber,,,,,,
05/04/2023,Wednesday,NRI,Northmere Royal Infirmary,Acute,480,5.9,7.8,8.1,191,0.075,101,0,14.9,32,0.905,0.053,4,13,0,1,0.509,3,0.34825,16.4640884,0.093166667,0.759071429,Amber,,,,,,
06/04/2023,Thursday,NRI,Northmere Royal Infirmary,Acute,480,4.5,9.8,7.8,209,0.073,104,0,14.7,34,0.915,0.054,4,14,0,3,0.586,3,0.3632,16.06557377,0.093666667,0.753642857,Amber,,,,,,
07/04/2023,Friday,NRI,Northmere Royal Infirmary,Acute,480,4.8,9.5,8.8,220,0.075,127,0,11.9,33,0.918,0.058,4,16,0,1,0.543,3,0.38675,12.96296296,0.095666667,0.734271429,Amber,,,,,,
08/04/2023,Saturday,NRI,Northmere Royal Infirmary,Acute,480,5.6,9,8.8,196,0.065,131,0,13.9,34,0.931,0.053,4,15,0,0,0.529,3,0.39375,14.9301826,0.093166667,0.769471429,Amber,,,,,,
09/04/2023,Sunday,NRI,Northmere Royal Infirmary,Acute,480,6.3,8.7,10.8,175,0.076,142,0,15.5,36,0.949,0.046,4,13,0,1,0.593,3,0.4239,16.33298209,0.089666667,0.843528571,Amber,,,,,,
10/04/2023,Monday,NRI,Northmere Royal Infirmary,Acute,480,4.9,9.1,9.6,247,0.123,128,0,15.3,36,0.955,0.058,3,17,0,2,0.677,3,0.4252,16.02094241,0.079,0.817214286,Amber,,,,,,
