date,day_of_week,trust_code,trust_name,trust_type,total_beds,flu_rate_per_100k,temperature_c,gp_appointment_lag_days,ae_attendance,ae_4hr_breach_pct,ae_mean_wait_mins,ae_12hr_trolley_waits,social_care_delay_days,nctr_patients,bed_occupancy_pct,nurse_sickness_pct,unfilled_shifts,ambulance_handover_avg_mins,ambulance_handover_over_60min,red_flag_incidents,pressure_score,opel_level
01/04/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,6.2,7.8,10.5,331,0.111,128,0,13.2,42,0.894,,3,14,0,2,0.529,3
02/04/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.8,8.3,8.8,266,0.076,117,0,13.8,36,0.896,0.058,3,16,0,0,0.455,2
03/04/2023,Monday,WGH,Westbridge General Hospital,Acute,620,5.1,9,10,326,0.093,128,0,15.1,35,0.912,0.041,3,15,0,6,0.567,3
04/04/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.7,7,10.3,300,0.069,113,0,,38,0.935,0.064,4,16,0,0,0.532,3
05/04/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,4.8,8.2,9.9,311,0.087,124,0,15.3,38,0.926,0.059,3,15,0,4,0.624,3
06/04/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,3.3,9.3,9.4,280,0.061,96,0,14.9,43,0.918,0.048,3,14,0,5,0.593,3
07/04/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.5,9.6,8.9,291,0.073,104,0,15.1,46,0.942,0.056,3,14,0,0,0.567,3
08/04/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.7,8.7,9.7,220,0.06,137,0,,38,0.94,0.05,4,14,0,1,0.537,3
09/04/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,5.7,8.8,8.9,227,0.07,120,0,15.7,37,0.921,0.065,3,17,0,2,0.557,3
10/04/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.5,8.6,9.4,326,0.085,131,0,,38,0.926,0.053,3,13,0,0,0.514,3
11/04/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.9,8.1,9.6,333,0.093,134,0,13.7,45,0.917,0.051,4,17,0,0,0.53,3
12/04/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,5.4,8.7,11.1,307,0.077,134,0,12.8,46,0.909,0.05,4,16,0,2,0.556,3
13/04/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,4.1,8.8,9.9,284,0.075,127,0,16.1,48,0.914,,3,17,0,0,0.506,3
14/04/2023,Friday,WGH,Westbridge General Hospital,Acute,620,4.3,10.2,8.9,309,0.094,125,0,15,51,0.886,0.051,3,14,0,3,0.579,3
15/04/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.3,9,10.2,252,0.073,133,0,13.6,54,0.868,0.051,4,15,0,3,0.543,3
16/04/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,6.1,11,9.5,237,0.059,102,0,13.9,45,0.869,0.054,2,16,0,1,0.452,2
17/04/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.4,9.8,10.4,342,0.126,116,0,14,41,0.866,0.058,2,16,0,1,0.492,2
18/04/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,4.5,10.1,9.4,323,0.087,125,0,14.3,35,0.882,0.063,4,18,0,2,0.495,2
19/04/2023,Wednesday,WGH,Westbridge General Hospital,Acute,620,6,9.6,9.5,307,0.082,125,0,,31,0.873,0.047,5,12,0,1,0.41,2
20/04/2023,Thursday,WGH,Westbridge General Hospital,Acute,620,6.2,9,10.1,290,0.068,128,0,11.6,31,0.858,0.055,4,16,0,2,0.411,2
21/04/2023,Friday,WGH,Westbridge General Hospital,Acute,620,5.6,10.7,9.4,297,0.077,126,0,13.1,33,0.891,0.053,4,18,0,3,0.503,3
22/04/2023,Saturday,WGH,Westbridge General Hospital,Acute,620,5.5,10,7.3,225,0.061,134,0,14.9,37,0.886,0.058,4,17,0,3,0.505,3
23/04/2023,Sunday,WGH,Westbridge General Hospital,Acute,620,4.8,10.3,10.5,252,0.051,115,0,15.9,37,0.889,0.059,3,15,0,2,0.479,2
24/04/2023,Monday,WGH,Westbridge General Hospital,Acute,620,4.4,10.7,9.1,323,0.092,132,0,14.6,41,0.871,0.059,5,14,0,4,0.549,3
25/04/2023,Tuesday,WGH,Westbridge General Hospital,Acute,620,5.3,12.9,9.5,305,0.088,113,0,14.2,41,0.871,0.048,4,18,0,2,0.479,2
